,repo_name,topics
189,bharathgs/NALU,"['pytorch', 'nalu', 'alu', 'deep-learning', 'neural-network', 'deepmind', 'arithmetic', 'logic', 'accumulator', 'machine-learning']"
190,wouterbeek/prolog_library_collection,"['prolog', 'swi-prolog']"
191,logisim-evolution/logisim-evolution,"['logisim-evolution', 'education', 'circuit', 'circuits', 'digital-circuit', 'digital-circuits', 'simulator', 'logic', 'digital-logic', 'digital-logic-design', 'fpga', 'timing-diagram', 'logisim', 'vhdl', 'verilog']"
192,mthom/scryer-prolog,"['rust', 'prolog', 'prolog-interpreter', 'prolog-implementation', 'iso-prolog-standard', 'prolog-programming-language']"
193,tomcl/issie,"['digital', 'logic', 'editor', 'simulator', 'fsharp', 'fable', 'electron', 'educational', 'fpga', 'verilog']"
194,bnidia/libft,"['algorithms', 'c', 'logic', 'rigor', 'unix']"
195,microsoft/Guan,"['guan', 'logic-programming', 'csharp', 'netstandard20', 'windows', 'linux', 'library', 'prolog']"
196,tuProlog/2p-kt,"['prolog', 'logic-programming', 'kotlin', 'kotlin-multiplatform', 'kotlin-multi-platform', 'tuprolog', '2p', 'java', 'jvm', 'javascript', 'js', 'symbolic', 'simbolic-ai']"
197,JanWielemaker/swi-prolog-wasm,"['prolog', 'webassembly']"
198,rj45/digilogic,"['circuit', 'digital', 'logic', 'logic-gates', 'simulation', 'eda', 'schematic-capture']"
199,921kiyo/symbolic-rl,"['reinforcement-learning', 'answer-set-programming', 'ilp', 'inductive-logic-programming', 'symbolic-reinforcement-learning', 'artificial-intelligence']"
200,prove-rs/z3.rs,"['logic-programming', 'smt', 'smt-solver', 'rust-bindings', 'rust', 'ffi-bindings']"
201,qnighy/ipc_solver,"['ocaml', 'logic', 'solver', 'twitter']"
