name,starsCount,forksCount,watchersCount,createdAt,description,githubPage,ownedByOrg,owner,language,
chaijs/loupe,21,10,7,2013-12-17,"Inspect utility for Node.js and browsers",https://github.com/chaijs/loupe,True,chaijs,JavaScript,
typicode/lowdb,21527,923,241,2014-04-02,"Simple and fast JSON database",https://github.com/typicode/lowdb,False,typicode,JavaScript,
blakeembrey/change-case,2279,97,17,2013-04-15,"Convert strings between camelCase, PascalCase, Capital Case, snake_case and more",https://github.com/blakeembrey/change-case,False,blakeembrey,TypeScript,
sindresorhus/lowercase-keys,40,12,6,2015-01-24,"Lowercase the keys of an object",https://github.com/sindresorhus/lowercase-keys,False,sindresorhus,JavaScript,
sindresorhus/lowercase-keys,40,12,6,2015-01-24,"Lowercase the keys of an object",https://github.com/sindresorhus/lowercase-keys,False,sindresorhus,JavaScript,
wooorm/lowlight,749,26,7,2016-01-26,"Virtual syntax highlighting for virtual DOMs and non-HTML things",https://github.com/wooorm/lowlight,False,wooorm,JavaScript,
isaacs/node-lru-cache,5349,353,52,2010-05-21,"A fast cache that automatically deletes the least recently used items",https://github.com/isaacs/node-lru-cache,False,isaacs,TypeScript,
isaacs/node-lru-cache,5349,353,52,2010-05-21,"A fast cache that automatically deletes the least recently used items",https://github.com/isaacs/node-lru-cache,False,isaacs,TypeScript,
jfromaniello/lru-memoizer,29,19,2,2016-02-29,"Memoize functions results using an lru-cache.",https://github.com/jfromaniello/lru-memoizer,False,jfromaniello,JavaScript,
rsms/js-lru,789,90,17,2010-03-30,"A fast, simple & universal Least Recently Used (LRU) map for JavaScript",https://github.com/rsms/js-lru,False,rsms,JavaScript,
dominictarr/ltgt,14,3,3,2014-05-29,"less than, greater than ranges",https://github.com/dominictarr/ltgt,False,dominictarr,JavaScript,
lukka/run-vcpkg,195,26,5,2019-12-08,"The GitHub Action to setup vcpkg for your C++ based projects. Stores built ports using Binary Caching backed onto GH Cache.",https://github.com/lukka/run-vcpkg,False,lukka,TypeScript,
lunary-ai/lunary,1074,131,6,2023-05-12,"The production toolkit for LLMs. Observability, prompt management and evaluations. ",https://github.com/lunary-ai/lunary,True,lunary-ai,TypeScript,
olivernn/lunr.js,8969,548,122,2011-06-23,"A bit like Solr, but much smaller and not as bright",https://github.com/olivernn/lunr.js,False,olivernn,JavaScript,
moment/luxon,15414,729,108,2015-11-30,"⏱ A library for working with dates and times in JS",https://github.com/moment/luxon,True,moment,JavaScript,
pieroxy/lz-string,4125,569,87,2013-05-08,"LZ-based compression algorithm for JavaScript",https://github.com/pieroxy/lz-string,False,pieroxy,TypeScript,
treshugart/mac,2,0,2,2015-02-25,"[DEPRECATED] - A tiny library designed to parallel or series chain streams, promises or functions with callbacks.",https://github.com/treshugart/mac,False,treshugart,JavaScript,
h4llow3En/mac-notification-sys,98,30,4,2017-02-16,"✉️ A simple wrapper to deliver or schedule macOS Notifications in Rust",https://github.com/h4llow3En/mac-notification-sys,False,h4llow3En,Rust,
LinusU/node-alias,13,23,5,2014-01-06,"Mac OS aliases creation and reading from node.js",https://github.com/LinusU/node-alias,False,LinusU,JavaScript,
sindresorhus/macos-release,64,17,8,2014-06-08,"Get the name and version of a macOS release from the Darwin version",https://github.com/sindresorhus/macos-release,False,sindresorhus,JavaScript,
LarsKoelpin/magic-bytes,132,26,1,2018-03-27,"A library for detecting file types.",https://github.com/LarsKoelpin/magic-bytes,False,LarsKoelpin,TypeScript,
Rich-Harris/magic-string,2360,113,15,2014-11-03,"Manipulate strings like a wizard",https://github.com/Rich-Harris/magic-string,False,Rich-Harris,JavaScript,
unjs/magicast,2302,39,10,2021-05-25,"🧀  Programmatically modify JavaScript and TypeScript source codes with a simplified, elegant and familiar syntax powered by recast and babel.",https://github.com/unjs/magicast,True,unjs,TypeScript,
mailgun/mailgun.js,521,110,52,2015-10-24,"Javascript SDK for Mailgun",https://github.com/mailgun/mailgun.js,True,mailgun,TypeScript,
halfmage/majesticons,157,11,3,2021-01-30,"👑 Free Version – A versatile, beautiful, and scalable iconset. 760 icons each in line and solid style.",https://github.com/halfmage/majesticons,False,halfmage,None,
sindresorhus/make-dir,474,22,11,2017-05-09,"Make a directory and its parents if needed - Think `mkdir -p`",https://github.com/sindresorhus/make-dir,False,sindresorhus,JavaScript,
